Timestamp,"There are many e-commerce sites or online shops that offer all kinds of facilities only to certain big cities  But through our website, we want to provide good service in the other cities as well. How do you feel about this move?","Most online shopping takes a long time to deliver but If you buy from your own district, it will take few hours or one day to deliver and if you buy from outside your district, it will take one or two days.   What do you think of this period?",Which of the following websites did you use before?,Do you want to buy products online from local shops?,If you are a small business owner are you interested in selling your products online?,Do you want to buy daily necessary things online?,"When you buy things, you can find the shops in your district and buy from all those shops as per the demand. What do you think this option will look like?",Which payment method do you use most often buying products online?,"For most of the products, we want to keep cash-on-delivery. What do you think this option will look like ?",Where would you like the location of the website menu bar?,You can also write here if you want to give your valuable feedback on how to improve our e-commerce site  
2020/11/19 10:24:15 AM GMT+6,,Fair,Chaldal,Yes,Yes,Yes,Good,Bkash,Very helpfull,,Nice concept
2020/11/19 1:09:40 PM GMT+6,Great idea,Fair delivery,Daraz,Yes,Yes,Yes,Good,Bkash,Very helpfull,Top,It's very helpful..
2020/11/19 1:13:59 PM GMT+6,Great idea,fast delivery,Evaly,Maybe,Yes,Maybe,Good,Visa Card,Very helpfull,Right,
2020/11/19 1:33:04 PM GMT+6,Great idea,fast delivery,Daraz,Maybe,Yes,Yes,Good,Bkash,Very helpfull,Top,
2020/11/19 1:35:36 PM GMT+6,Great idea,Fair delivery,Daraz,No,Yes,Maybe,Good,Bkash,Very helpfull,left,
2020/11/19 1:36:05 PM GMT+6,Great idea,Poor,Pickaboo,Yes,Yes,Yes,Good,Master card,Very helpfull,left,
2020/11/19 1:42:10 PM GMT+6,Great idea,fast delivery,Daraz,Yes,Yes,Yes,Good,Bkash,Very helpfull,left,Unique 
2020/11/19 1:44:53 PM GMT+6,Great idea,Fair delivery,Pickaboo,Yes,Yes,Yes,Good,Bkash,Very helpfull,Right,
2020/11/19 1:57:33 PM GMT+6,Great idea,Poor,Daraz,Yes,Yes,Yes,Good,Bkash,Very helpfull,left,😊
2020/11/19 2:15:25 PM GMT+6,,Fair delivery,Daraz,No,Maybe,No,Good,Cash on delivery,Very helpfull,left,
2020/11/19 2:15:48 PM GMT+6,Great idea,fast delivery,Daraz,Yes,Yes,Yes,Good,Cash on delivery,Very helpfull,Bottom,Good
2020/11/19 2:30:18 PM GMT+6,Great idea,fast delivery,Daraz,Maybe,Yes,Yes,Good,Bkash,Very helpfull,Right,great idea 
2020/11/19 2:44:23 PM GMT+6,Great idea,fast delivery,Daraz,Yes,Yes,Yes,Good,Cash on delivery,Very helpfull,left,
2020/11/19 2:45:45 PM GMT+6,Great idea,Fair delivery,AliExpress,Yes,Yes,Yes,Good,Bkash,Good,left,I am not clear about the main focus of this survey. I would suggest to be more precise about the requirements.
2020/11/19 2:46:15 PM GMT+6,Wise decision,fast delivery,Daraz,Yes,Yes,Yes,Good,Cash on delivery,Fair,left,
2020/11/19 2:55:17 PM GMT+6,Great idea,Fair delivery,Daraz,Yes,Yes,Yes,Good,Master card,Very helpfull,Top,
